a,b,mean
3.67E+00,5.69E+00,431979537.4
3.68E+00,5.69E+00,433608385.9
3.69E+00,5.72E+00,511721692.7
3.72E+00,5.72E+00,526320455.5
3.72E+00,5.72E+00,528327247.3
3.73E+00,5.73E+00,560313457.3
3.75E+00,5.73E+00,567927450.3
3.75E+00,5.73E+00,567927450.3
3.75E+00,5.73E+00,567927450.3
3.75E+00,5.73E+00,578221343.2
3.78E+00,5.73E+00,595172834.8
3.78E+00,5.73E+00,595561514.3
3.78E+00,5.73E+00,596308566.4
3.78E+00,5.73E+00,595362665.7
3.78E+00,5.76E+00,703721008.5
3.78E+00,5.76E+00,703721008.5
3.78E+00,5.81E+00,938458061.2
3.78E+00,5.81E+00,938458061.2
3.79E+00,5.81E+00,947888470.3
3.79E+00,5.81E+00,947888470.3
3.79E+00,5.85E+00,1189108617
3.82E+00,5.85E+00,1219712597
3.82E+00,5.85E+00,1223480450
3.82E+00,5.85E+00,1223480450
3.84E+00,5.88E+00,1463509808
3.84E+00,5.88E+00,1463509808
3.84E+00,5.88E+00,1539869988
3.84E+00,5.93E+00,1992938200
3.84E+00,5.93E+00,1992938200
3.84E+00,5.93E+00,1992938200
3.84E+00,5.93E+00,1992938200
3.84E+00,5.93E+00,1997547532
3.85E+00,5.93E+00,2020376204
3.85E+00,5.98E+00,2746210412
3.85E+00,5.98E+00,2746210412
3.85E+00,5.98E+00,2746210412
3.85E+00,6.01E+00,3357628896
3.85E+00,6.04E+00,3887994703
3.85E+00,6.04E+00,3887994703
3.85E+00,6.04E+00,3887994703
3.85E+00,6.06E+00,4313460507
3.88E+00,6.06E+00,4687243245
3.88E+00,6.06E+00,4687243245
3.88E+00,6.08E+00,5138599113
3.88E+00,6.10E+00,5904042235
3.88E+00,6.10E+00,5904042235
3.88E+00,6.10E+00,5866506821
3.88E+00,6.10E+00,5866506821
3.88E+00,6.10E+00,5866506821
3.88E+00,6.10E+00,5866506821
3.90E+00,6.10E+00,6021907602
3.93E+00,6.10E+00,6160026790
3.94E+00,6.10E+00,6268024646
3.94E+00,6.10E+00,6268024646
3.95E+00,6.10E+00,6313286157
3.98E+00,6.11E+00,6799752291
3.98E+00,6.15E+00,8996131405
3.98E+00,6.15E+00,8996131405
3.98E+00,6.15E+00,8996131405
3.98E+00,6.15E+00,8996131405
4.00E+00,6.17E+00,9930445783
4.03E+00,6.17E+00,10140977964
4.03E+00,6.21E+00,13079283587
4.06E+00,6.25E+00,17757226371
4.06E+00,6.25E+00,17757226371
4.06E+00,6.25E+00,17757226371
4.06E+00,6.25E+00,17757226371
4.06E+00,6.25E+00,17757226371
4.08E+00,6.29E+00,23826835915
4.08E+00,6.29E+00,23826835915
